id,r2,partistic,partistic_support,partistic_tree_confidence,partistic_mean,partistic_variance,clade,clade_support,clade_tree_cofidence,clade_mean,clade_variance,placement,placement_support,placement_mean,placement_variance,regression
CAP257_GAG_P17_W16_QVOA,0.5064753349007035,undefined,1,N/A,NaN,0.5,undefined,1,N/A,NaN,0.020833333333333332,213,1,213,1.0000154939828967,NaN
CAP257_GAG_P17_W29_QVOA,0.5064753349007035,undefined,1,N/A,NaN,0.5,undefined,1,N/A,NaN,0.020833333333333332,213,1,213,1.0000154939828967,NaN
CAP257_GAG_P17_B_W7_QVOA,0.5064753349007035,undefined,1,N/A,NaN,1,undefined,1,N/A,NaN,0.021739130434782608,213,1,213,1.00295581858971,NaN
CAP257_GAG_P17_W20_QVOA,0.5064753349007035,undefined,1,N/A,NaN,0.5,undefined,1,N/A,NaN,0.5,213,1,213,1.0015755822729404,NaN
CAP257_GAG_P17_W26_QVOA,0.5064753349007035,undefined,1,N/A,NaN,0.2,undefined,1,N/A,NaN,0.5,213,1,213,1.0000037655294107,NaN
CAP257_GAG_P17_W38_P2_QVOA,0.5064753349007035,undefined,1,N/A,NaN,1,undefined,1,N/A,NaN,0.125,213,0.9832217821705523,213.4530118813951,12.02610103298221,NaN
CAP257_GAG_P17_W6_QVOA,0.5064753349007035,undefined,1,N/A,NaN,1,undefined,1,N/A,NaN,0.021739130434782608,213,1,213,1.0007979586575966,NaN
CAP257_GAG_P17_W33_QVOA,0.5064753349007035,undefined,1,N/A,NaN,1,undefined,1,N/A,NaN,0.1,240,0.971970386191833,237.05689055014247,300.36459900120127,NaN
CAP257_GAG_P17_B_W10_QVOA,0.5064753349007035,undefined,1,N/A,NaN,1,undefined,1,N/A,NaN,0.2,240,1,240,1.002002452377535,NaN
CAP257_GAG_P17_W34_QVOA,0.5064753349007035,undefined,1,N/A,NaN,1,undefined,1,N/A,NaN,0.2,240,1,240,1.002002452377535,NaN
CAP257_GAG_P17_W37_QVOA,0.5064753349007035,undefined,1,N/A,NaN,0.5,undefined,1,N/A,NaN,0.14285714285714285,135,0.8811846589992296,147.4756108050809,1154.2982695736423,NaN
CAP257_GAG_P17_W15_QVOA,0.5064753349007035,undefined,1,N/A,NaN,0.3333333333333333,undefined,1,N/A,NaN,0.16666666666666666,213,0.8703010503289038,202.88348192565448,686.74447185039,NaN
CAP257_GAG_P17_B_W14_QVOA,0.5064753349007035,undefined,1,N/A,NaN,0.2,undefined,1,N/A,NaN,0.004405286343612335,213,1,213,1.0000000000041422,NaN
CAP257_GAG_P17_W9_QVOA,0.5064753349007035,undefined,1,N/A,NaN,0.2,undefined,1,N/A,NaN,0.004405286343612335,213,1,213,1.0000000000041422,NaN
CAP257_GAG_P17_W12_QVOA,0.5064753349007035,undefined,1,N/A,NaN,0.07142857142857142,undefined,1,N/A,NaN,0.004405286343612335,213,1,213,1.000000000007594,NaN
